query,file,photographer,source_url,licence
air purifier,data/photo_pool/air-purifier/00.jpg,kadus64,https://www.flickr.com/photos/35052140@N05/6803828120,by-sa 2.0
air purifier,data/photo_pool/air-purifier/01.jpg,bfishadow,https://www.flickr.com/photos/61368956@N00/6471707209,by 2.0
air purifier,data/photo_pool/air-purifier/02.jpg,kennejima,https://www.flickr.com/photos/17152247@N00/6339398458,by 2.0
air purifier,data/photo_pool/air-purifier/03.jpg,Morn,https://commons.wikimedia.org/w/index.php?curid=108202463,cc0 1.0
air purifier,data/photo_pool/air-purifier/04.jpg,ericheath,https://www.flickr.com/photos/59162210@N00/2555589154,by 2.0
air purifier,data/photo_pool/air-purifier/05.jpg,Home Air Quality Guides,https://commons.wikimedia.org/w/index.php?curid=128817932,by-sa 2.0
basketball,data/photo_pool/basketball/00.jpg,Phil Roeder,https://www.flickr.com/photos/88876166@N00/16811802575,by 2.0
basketball,data/photo_pool/basketball/01.jpg,"DeusXFlorida (11,059,330 views) - thanks guys!",https://www.flickr.com/photos/8363028@N08/3283446933,by 2.0
basketball,data/photo_pool/basketball/02.jpg,frankdouwes,https://www.flickr.com/photos/26209626@N05/3549107451,by 2.0
basketball,data/photo_pool/basketball/03.jpg,"DeusXFlorida (11,059,330 views) - thanks guys!",https://www.flickr.com/photos/8363028@N08/3284270018,by 2.0
basketball,data/photo_pool/basketball/04.jpg,j9sk9s,https://www.flickr.com/photos/20943407@N08/4128778346,by 2.0
basketball,data/photo_pool/basketball/05.jpg,Seattle Municipal Archives,https://www.flickr.com/photos/24256351@N04/2650237862,by 2.0
beige desk chair,data/photo_pool/beige-desk-chair/00.jpg,,https://www.brooklynmuseum.org/opencollection/objects/50979,by 3.0
beige desk chair,data/photo_pool/beige-desk-chair/01.jpg,,https://www.brooklynmuseum.org/opencollection/objects/50979,by 3.0
beige desk chair,data/photo_pool/beige-desk-chair/02.jpg,,https://www.brooklynmuseum.org/opencollection/objects/50979,by 3.0
beige desk chair,data/photo_pool/beige-desk-chair/03.jpg,,https://www.brooklynmuseum.org/opencollection/objects/50979,by 3.0
beige desk chair,data/photo_pool/beige-desk-chair/04.jpg,,https://www.brooklynmuseum.org/opencollection/objects/50979,by 3.0
beige desk chair,data/photo_pool/beige-desk-chair/05.jpg,,https://www.brooklynmuseum.org/opencollection/objects/50979,by 3.0
beige sofa couch,data/photo_pool/beige-sofa-couch/00.jpg,Plage Vinilos y Decoración,https://www.flickr.com/photos/59209848@N08/5549366003,by 2.0
beige sofa couch,data/photo_pool/beige-sofa-couch/01.jpg,Plage Vinilos y Decoración,https://www.flickr.com/photos/59209848@N08/5429094366,by 2.0
beige sofa couch,data/photo_pool/beige-sofa-couch/02.jpg,Miia Sample,https://www.flickr.com/photos/78835633@N00/3678071352,by-sa 2.0
beige sofa couch,data/photo_pool/beige-sofa-couch/03.jpg,Miia Sample,https://www.flickr.com/photos/78835633@N00/3678073618,by-sa 2.0
beige sofa couch,data/photo_pool/beige-sofa-couch/04.jpg,Nadya Peek,https://www.flickr.com/photos/79234916@N00/16505315,by 2.0
beige sofa couch,data/photo_pool/beige-sofa-couch/05.jpg,PattayaPatrol,https://www.flickr.com/photos/194424926@N05/54298165566,by-sa 2.0
bicycle pump,data/photo_pool/bicycle-pump/00.jpg,User:GodOfKittens,https://commons.wikimedia.org/w/index.php?curid=25118376,by-sa 3.0
bicycle pump,data/photo_pool/bicycle-pump/01.jpg,londoncyclist,https://www.flickr.com/photos/10978010@N07/9143630753,by 2.0
bicycle pump,data/photo_pool/bicycle-pump/02.jpg,Bicycle Bob,https://www.flickr.com/photos/81012549@N00/5377555712,by-sa 2.0
