id,seller_id,source,title,description,category,subcategory,condition,price_cents,is_free,is_negotiable,zip_code,status,view_count,save_count,enquiry_count,external_url,posted_at,sold_at,buyer_id,sold_price_cents
a952b715-e955-4b90-b084-76606e06168c,71938832-5c59-49e3-be85-9acbd7ca55ba,internal,"IKEA IVAR shelf unit, walnut",,furniture,storage_shelving,like_new,8000,false,false,10452,sold,19,1,1,,2024-08-22T12:36:27+00:00,2024-08-29T17:35:28+00:00,,8000
c8dbd23c-3889-4464-8a6e-07e37ce82210,71938832-5c59-49e3-be85-9acbd7ca55ba,internal,"Brompton folding, S frame, recently serviced","Used it for about a month and it looks the same as the day I got it. Finished the course, so I no longer need it. Cash or Venmo. I can meet near Morningside Heights any afternoon.",bikes_transport,,like_new,40000,false,false,10452,active,76,5,2,,2024-08-22T16:23:53+00:00,,,
2274e184-e761-4463-ac5d-cf47da33c277,71938832-5c59-49e3-be85-9acbd7ca55ba,internal,"Mechanical keyboard, black","Some visible wear and a small chip on one corner. Happy to send more photos. Heading back home after this semester and cannot take it with me. Easy pickup near Amsterdam Ave, evenings and weekends work best. Open to a small discount if you take it today.",electronics,,used_fair,7500,false,true,10452,active,40,6,0,,2024-08-23T21:02:37+00:00,,,
dc143252-7226-4016-ba24-b1dde2fca9f9,71938832-5c59-49e3-be85-9acbd7ca55ba,internal,"Kobo Clara, wifi",Barely touched — I moved into a furnished place two weeks later. Bought it for a sublet that ended early. Cash or Venmo. I can meet near the Columbia gates any afternoon.,electronics,,like_new,13000,false,true,10452,active,170,21,0,,2024-08-24T11:43:22+00:00,,,
f56a704c-5705-4e1e-92e5-20be0e61d82b,bacf1c32-002e-4d62-8c6c-221609513f2f,internal,"Ski jacket and poles, size M","Well used and it shows — a few dents and one sticky drawer, but it does its job. Bought it for a sublet that ended early. Happy to hold it for a day if you need to arrange a car. Original box and instructions included.",sports,,used_fair,5000,false,true,10025,active,70,7,0,,2024-08-25T07:57:18+00:00,,,
bdf18863-c38b-49b9-a29a-8525d55e6df3,3b30a6e4-3c57-4bbd-9b03-022e7facb880,internal,"Standing fan, 3 speeds","Used for two semesters and it has held up well. Nothing broken, a bit of normal wear. Heading back home after this semester and cannot take it with me. Happy to hold it for a day if you need to arrange a car.",kitchen_home,,used_good,1900,false,false,10027,sold,19,3,1,,2024-08-26T23:39:49+00:00,2024-09-22T00:42:02+00:00,27de1447-4949-4ba1-94da-511dcf33e97a,1800
9e8ea95e-c080-4bfe-862d-dcaae6051c60,71938832-5c59-49e3-be85-9acbd7ca55ba,internal,"Winter boots, size XS, waterproof","Solid, no wobble — one small scuff on the back left that you cannot see once it is against a wall. Finished the course, so I no longer need it. Cash or Venmo. I can meet near the Columbia gates any afternoon.",clothing,,used_good,10000,false,false,10452,sold,128,6,2,,2024-08-27T01:43:46+00:00,2024-09-01T22:53:42+00:00,04ef5bae-6f20-43c1-84c2-80053a99d1b1,10000
e2248c6b-72a7-44a6-a18d-d28e0543debe,ba4e0520-1425-44b4-ba42-764ccd9799f7,internal,"IKEA MALM desk 140×65 in white, barely used, moving out May","Selling my IKEA MALM desk (140 × 65 cm, white). Bought new in August 2024 when I moved into Morningside Heights, used it for two semesters of CBS coursework. Solid, no wobble — one small scuff on the back left leg that you cannot see once it is against a wall. Selling my IKEA MALM desk (140 × 65 cm, white). Bought new in August 2024 when I moved into Morningside Heights, used it for two semesters of CBS coursework. Solid, no wobble — one small scuff on the back left leg that you cannot see once it is against a wall. Selling my IKEA MALM desk (140 × 65 cm, white). Bought new in August 2024 when I moved into Morningside Heights, used it for two semesters of CBS coursework. Solid, no wobble — one small scuff on the back left leg that you cannot see once it is against a wall. Selling my IKEA MALM desk (140 × 65 cm, white). Bought new in August 2024 when I moved into Morningside Heights, used it for two semesters of CBS coursework. Solid, no wobble — one small scuff on the back left leg tha",furniture,storage_shelving,used_good,4500,false,false,10027,active,50,7,0,,2024-08-28T09:48:32+00:00,,,
616b516d-4075-42f6-82eb-2cbbe49566cf,ba4e0520-1425-44b4-ba42-764ccd9799f7,internal,Folding dining table + 2 chairs,"Everything works. A couple of light marks from moving, nothing structural. I am graduating in May and everything has to go before I move out. Pickup only, 3rd floor with an elevator — I can help carry it down to the street. Can send more photos of any detail you want to see.",furniture,sofas_tables,used_good,6500,false,false,10027,active,183,14,4,,2024-08-29T10:32:51+00:00,,,
9396657e-443a-4190-a8ad-4c2449ed5cf7,27de1447-4949-4ba1-94da-511dcf33e97a,internal,"ThinkPad X1, 8GB/256GB","Never used. Bought it in September and it has sat in the box since. Moving to a smaller place at the end of the month, so it needs a new home. Happy to hold it for a day if you need to arrange a car.",electronics,,new,50000,false,false,10025,active,52,6,1,,2024-08-30T06:47:00+00:00,,,
