listing_id,photo_query
a952b715-e955-4b90-b084-76606e06168c,bookshelf shelving unit
c8dbd23c-3889-4464-8a6e-07e37ce82210,road bicycle
2274e184-e761-4463-ac5d-cf47da33c277,mechanical keyboard
dc143252-7226-4016-ba24-b1dde2fca9f9,e-reader ebook
f56a704c-5705-4e1e-92e5-20be0e61d82b,ski jacket poles
bdf18863-c38b-49b9-a29a-8525d55e6df3,standing floor fan
9e8ea95e-c080-4bfe-862d-dcaae6051c60,winter boots
e2248c6b-72a7-44a6-a18d-d28e0543debe,chest of drawers dresser
616b516d-4075-42f6-82eb-2cbbe49566cf,small dining table
9396657e-443a-4190-a8ad-4c2449ed5cf7,laptop computer
f0951fa0-04fb-4abb-8aa2-42248467ee46,tablet device
3965cc3b-bde9-4769-8530-9bad826507cd,small dining table
c1a1dbb4-31aa-4995-9f85-85f1c622daf7,chest of drawers dresser
12b44479-860f-40b1-9bed-6da8502ddad6,wooden dining chairs
b9e1cdae-13f6-4213-8894-bb79d35d23c6,pile of books study
edebdbbc-c908-4e82-8a75-531788257ae3,small dining table
6dc97872-dc25-4114-a162-6a5236efca6d,yoga mat
9a5db7f4-f2e3-46e4-b8a7-20dd5bd9f1d5,clothes rack hangers
3a97e965-5544-4579-b3f8-449e4f4288cb,bike helmet lock
d26e5ca3-f960-4446-8c88-63abe572515e,mens suit
080a318e-ac1f-40b3-b379-7e32332d5c38,over ear headphones
e23e1b1e-4b0a-4e2a-8f21-8429aa3ed420,weight bench gym
55a4bba1-70b9-4171-95d3-5eeed79f9f9a,small writing desk
9ff658f7-4247-427d-8874-6c2775c82e69,usb cables charger
68ae6b58-3b62-40ca-8193-2d885066cf90,computer monitor desk
c264cff0-4086-41ec-9d6c-a768b83b4342,laptop computer
22ff3bf7-cb25-4648-b29e-ae0403c1511d,air purifier
16b6dcc0-a2fd-4574-b321-1acdc6e63e1e,computer monitor desk
34556ba1-6f49-402d-a87d-f41be52f98ae,black desk chair
c13e74fb-223c-4ff2-b698-732b92c3ea47,stack of textbooks
ff7cb602-ba0a-4d9f-9ebb-56372c595818,winter boots
f55b2a6e-ebfa-4695-b522-729fc8bb82b5,mattress bed frame
f1f299a8-94c2-4971-8d32-eefbd70496e3,air purifier
58f1ff8d-6d9a-4932-971e-0b02dcf4b147,pile of books study
45ce048c-a2a2-43c1-8050-7a21bbb00bc8,college textbook
baf97d52-7bc9-4caa-a761-0ce9c8d9d9aa,navy sofa couch
937937f9-03b3-422e-b103-ac8815fafae8,open textbook desk
5038eddd-be96-409c-ab71-47f4d8d2558d,stack of textbooks
f315d986-c3b1-4f85-8e87-b0bbffc0a14e,chest of drawers dresser
4cc2324d-c14b-452e-af2d-3cd8f9cd314d,wool overcoat
a9f5e0f7-2df2-4ea9-86fe-7a39d7fc80b6,e-reader ebook
65d32c35-8bb8-4f3b-beba-ec90d3319c28,beige desk chair
90cd19aa-5285-423a-afed-01ee290ae9ea,mattress bedroom
4a17397e-f126-4099-a032-b406836fc205,grey sofa couch
f4a3f3e1-2935-4940-b2a6-c6388214bf59,cast iron skillet
568ff6a7-f2b6-4032-b8b8-13a6194cd1e2,wooden dining chairs
4f167669-bc1e-4161-9cd7-c8f20a1812d6,wool overcoat
aad7422a-73d9-45d7-85db-19b4df31d5c0,spiral notebook binder
9430e7ea-625c-449a-ba98-5efd0f14d9eb,mens suit
d17a2b60-fde0-4f45-b495-3d2d64bcf097,mattress bed frame
2dc277d6-6968-4855-adc6-3adf5f6b11b7,small dining table
9e09d63f-084c-4a53-9e46-73cf55878e7d,standing floor fan
60d2863e-69e2-4453-a41b-dee0a9e2deb4,shopping trolley cart
826c5d84-3830-4f3c-a9f9-05505be585bb,chest of drawers dresser
4fd32945-efa7-4828-ab03-fe22f8aad53e,small writing desk
41383e52-07a0-4d7f-8d71-c07ac8439446,mattress bed frame
b6c80d64-e4a2-4739-9f4f-ddd7c47db6d6,vacuum cleaner
c8b59a17-191d-4c66-a0b0-9cc8b21d1703,stack of textbooks
20d6d26c-dc58-4c93-95a6-7083b5c29de9,kitchen utensils
dc464101-f7a2-4647-95c3-0292397e7d0f,dinner plates dishes
a04779ce-e575-49c6-b1c6-eb3056cd05c5,yoga mat
73a9cb41-a61e-40b6-9f12-16f380f74177,usb cables charger
5695c0bd-461f-47c2-9e55-11f2e667fe6f,mechanical keyboard
1fe784bc-6f30-4833-9ae6-4fcb0f296313,espresso coffee machine
9ea3c6f7-4487-41ed-a786-3cbcc74116d2,spiral notebook binder
df494339-a0af-4af8-b065-29d7ae47f220,mini fridge
f24de249-4a3a-48b6-a1ed-031d33049871,stack of textbooks
199647d8-0522-41da-b006-85769c6e660f,spiral notebook binder
ddf436c7-d717-4684-a7ea-833a81243af8,mattress bedroom
e6fe2823-7d51-40c1-ad80-81d07a3ae9d6,open textbook desk
4a7763c6-7993-4714-a0b4-d863cc76100e,small dining table
bd450cc0-bb96-4f59-9c04-e5c48a80da5a,chest of drawers dresser
79cc7c97-3981-439d-be4d-7401df48343a,microwave oven
fbd1ca94-7113-41a5-b16b-8bee968143f9,sneakers shoes
1ac72c1c-71db-4f2c-aeef-883a65271620,toaster oven
8502f585-65ac-4dc5-8c66-da8feaed6668,black mesh office chair
901c52ee-2e1d-4112-b6c3-93b29fbf46cb,oak sofa couch
b83f9f81-da46-4c2d-ac15-b39e86360ca8,wooden dining chairs
fa54a884-1931-4725-960c-eccead88c6af,bike helmet lock
