zip_code,neighbourhood,borough,lat,lon,miles_from_campus
07030,Hoboken,"Hoboken, NJ",40.744,-74.0324,5.7
07302,Downtown Jersey City,"Jersey City, NJ",40.7195,-74.047,7.5
07310,Newport,"Jersey City, NJ",40.7302,-74.0338,6.5
10001,Chelsea,Manhattan,40.7506,-73.9971,4.3
10002,Lower East Side,Manhattan,40.7157,-73.9863,6.5
10003,East Village,Manhattan,40.7318,-73.9891,5.4
10009,Alphabet City,Manhattan,40.7264,-73.9787,5.7
10010,Gramercy,Manhattan,40.739,-73.9826,4.8
10011,Chelsea / West Village,Manhattan,40.742,-74.0002,4.9
10012,SoHo / NoHo,Manhattan,40.7256,-73.9983,6.0
10013,Tribeca,Manhattan,40.7207,-74.0046,6.4
10014,West Village,Manhattan,40.734,-74.0053,5.5
10016,Murray Hill,Manhattan,40.7459,-73.9781,4.3
10017,Midtown East,Manhattan,40.7523,-73.9725,3.8
10018,Midtown West,Manhattan,40.7549,-73.993,4.1
10019,Midtown West,Manhattan,40.7654,-73.987,3.2
10021,Upper East Side,Manhattan,40.7694,-73.9587,2.6
10022,Midtown East,Manhattan,40.7585,-73.9677,3.4
10023,Lincoln Square,Manhattan,40.7756,-73.9825,2.4
10024,Upper West Side (lower),Manhattan,40.7864,-73.9764,1.6
10025,Upper West Side,Manhattan,40.7987,-73.9665,0.9
10026,South Harlem,Manhattan,40.8027,-73.9526,1.3
10027,Morningside Heights,Manhattan,40.8115,-73.9535,0.2
10028,Upper East Side,Manhattan,40.7764,-73.9536,2.2
10029,East Harlem,Manhattan,40.7917,-73.9439,1.5
10030,Central Harlem,Manhattan,40.8183,-73.9426,1.3
10031,Hamilton Heights,Manhattan,40.8251,-73.95,1.1
10032,Washington Heights,Manhattan,40.8387,-73.9425,2.4
10033,Washington Heights,Manhattan,40.8501,-73.9339,3.3
10034,Inwood,Manhattan,40.8672,-73.9213,4.7
10035,East Harlem,Manhattan,40.7958,-73.9295,1.9
10036,Hell's Kitchen,Manhattan,40.759,-73.9897,3.4
10037,Central Harlem,Manhattan,40.8128,-73.9375,1.4
10038,Financial District,Manhattan,40.7093,-74.0027,7.1
10039,Harlem,Manhattan,40.8268,-73.9375,1.9
10040,Fort George,Manhattan,40.8583,-73.9296,3.9
10044,Roosevelt Island,Manhattan,40.7618,-73.95,3.2
10065,Upper East Side,Manhattan,40.7647,-73.9633,3.0
10075,Upper East Side,Manhattan,40.7733,-73.9562,2.4
10128,Carnegie Hill,Manhattan,40.7816,-73.95,1.9
10280,Battery Park City,Manhattan,40.7086,-74.0166,7.4
10451,Mott Haven,Bronx,40.8203,-73.9247,2.2
10452,Highbridge,Bronx,40.8378,-73.9233,2.9
10453,Morris Heights,Bronx,40.8523,-73.9124,4.1
10463,Kingsbridge / Riverdale,Bronx,40.8806,-73.9065,5.8
10468,Kingsbridge Heights,Bronx,40.8663,-73.8999,5.2
11101,Long Island City,Queens,40.7447,-73.9485,4.4
11102,Astoria,Queens,40.7721,-73.926,3.1
11103,Astoria (Steinway),Queens,40.7627,-73.913,4.0
11105,Astoria (Ditmars),Queens,40.7788,-73.9067,3.5
11106,Astoria,Queens,40.762,-73.931,5.2
11201,Brooklyn Heights / Downtown,Brooklyn,40.694,-73.9903,8.0
11205,Fort Greene / Clinton Hill,Brooklyn,40.6945,-73.9665,7.8
11206,Williamsburg (east),Brooklyn,40.7014,-73.9426,7.4
11211,Williamsburg,Brooklyn,40.7093,-73.957,6.8
11215,Park Slope,Brooklyn,40.6674,-73.9856,9.8
11216,Bedford-Stuyvesant,Brooklyn,40.6807,-73.9491,8.8
11217,Boerum Hill,Brooklyn,40.6822,-73.9784,8.7
11222,Greenpoint,Brooklyn,40.7282,-73.947,5.5
11231,Carroll Gardens,Brooklyn,40.6785,-74.0046,9.2
11238,Prospect Heights,Brooklyn,40.6792,-73.9635,8.9
11249,Williamsburg (north),Brooklyn,40.7175,-73.9612,6.2
11354,Flushing,Queens,40.7678,-73.8331,7.3
11372,Jackson Heights,Queens,40.7517,-73.8832,5.7
11375,Forest Hills,Queens,40.721,-73.8458,8.5
11377,Woodside,Queens,40.7449,-73.9052,5.3
